ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
DeSantis,4/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Trump,4/2/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,4915
Biden,4/2/2024 12:00:00 AM,$0.48,$0.50,$0.48,$0.49,5791
Harris,4/2/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,53
Buttigieg,4/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/2/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,31
Ramaswamy,4/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/2/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
RFK Jr.,4/2/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2041
Haley,4/2/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1
DeSantis,4/3/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,10025
Trump,4/3/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,2590
Biden,4/3/2024 12:00:00 AM,$0.49,$0.50,$0.48,$0.50,3641
Harris,4/3/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,927
Buttigieg,4/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/3/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,967
Ramaswamy,4/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/3/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/3/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,765
Haley,4/3/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1078
DeSantis,4/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,115
Trump,4/4/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,2914
Biden,4/4/2024 12:00:00 AM,$0.50,$0.51,$0.49,$0.51,12334
Harris,4/4/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,698
Buttigieg,4/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/4/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1342
Ramaswamy,4/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/4/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/4/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,2147
Haley,4/4/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,7856
DeSantis,4/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1119
Trump,4/5/2024 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,1702
Biden,4/5/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.50,4351
Harris,4/5/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,4
Buttigieg,4/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/5/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,951
Ramaswamy,4/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Scott,4/5/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/5/2024 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,2151
Haley,4/5/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,877
DeSantis,4/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,115
Trump,4/6/2024 12:00:00 AM,$0.46,$0.47,$0.46,$0.46,2090
Biden,4/6/2024 12:00:00 AM,$0.50,$0.51,$0.50,$0.51,2366
Harris,4/6/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,15
Buttigieg,4/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/6/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,26
Ramaswamy,4/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/6/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
RFK Jr.,4/6/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,57
Haley,4/6/2024 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,537
DeSantis,4/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,268
Trump,4/7/2024 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,7545
Biden,4/7/2024 12:00:00 AM,$0.51,$0.52,$0.50,$0.51,2970
Harris,4/7/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,887
Buttigieg,4/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/7/2024 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1247
Ramaswamy,4/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/7/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/7/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1546
Haley,4/7/2024 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,298
DeSantis,4/8/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1044
Trump,4/8/2024 12:00:00 AM,$0.46,$0.46,$0.45,$0.45,2238
Biden,4/8/2024 12:00:00 AM,$0.51,$0.54,$0.51,$0.52,8603
Harris,4/8/2024 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,558
Buttigieg,4/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/8/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,18568
Ramaswamy,4/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/8/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,2288
Haley,4/8/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,150
DeSantis,4/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Trump,4/9/2024 12:00:00 AM,$0.45,$0.46,$0.45,$0.46,4490
Biden,4/9/2024 12:00:00 AM,$0.52,$0.53,$0.52,$0.53,4691
Harris,4/9/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1755
Buttigieg,4/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/9/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1761
Ramaswamy,4/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/9/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/9/2024 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1972
Haley,4/9/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,886
DeSantis,4/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1669
Trump,4/10/2024 12:00:00 AM,$0.46,$0.46,$0.44,$0.45,9165
Biden,4/10/2024 12:00:00 AM,$0.53,$0.53,$0.51,$0.52,3993
Harris,4/10/2024 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1891
Buttigieg,4/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/10/2024 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,2413
Ramaswamy,4/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
RFK Jr.,4/10/2024 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,20362
Haley,4/10/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1819
DeSantis,4/11/2024 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,382
Trump,4/11/2024 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,6165
Biden,4/11/2024 12:00:00 AM,$0.52,$0.53,$0.52,$0.53,4297
Harris,4/11/2024 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,131
Buttigieg,4/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Newsom,4/11/2024 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,20404
Ramaswamy,4/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Scott,4/11/2024 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
